Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,21.779644174921675,-3.3404534173840843,5.110609293596231,-70.0,-97.8,5.758472019555188,101.0,238.54,205.17175341649738
0,38.58163506406379,-0.9624159415382785,7.406873394291319,-50.0,-95.4,8.416650165000323,101.0,183.89,178.9746292076059
1,47.04155160670234,0.19937436350580967,8.77488085864527,-40.0,-94.1,10.00949549178179,101.0,190.6,198.5865554361624
2,47.04155160670234,1.281253287696224,8.611065465587114,-40.0,-92.9,9.828021163998377,101.0,191.25,200.24746565187786
3,47.04155160670234,2.066201701629618,8.399492462659047,-40.0,-92.0,9.591663046625438,102.0,196.89,201.89204516275524
4,47.04155160670234,3.5947509184770916,8.728620926115449,-40.0,-90.3,9.945350672550466,102.0,196.82,202.05916856208236
5,47.04155160670234,4.76666428788528,9.228149116412379,-40.0,-89.0,10.535653752852738,100.0,196.36,201.76141950333317
6,47.04155160670234,5.743087683026741,10.108141280775294,-40.0,-87.9,11.514773119779653,100.0,198.75,201.55879415197938
7,47.04155160670234,8.175682179621337,10.328291362140659,-40.0,-85.2,11.788129622633102,102.0,197.64,200.65435554704516
8,47.04155160670234,9.773991491108694,11.123525830552456,-40.0,-83.4,12.666491226855209,146.0,201.37,200.2632095518295
9,47.04155160670234,10.73242217103421,12.050775539264603,-40.0,-82.3,13.70072990756332,146.0,207.84,200.58757289523194
10,47.04155160670234,11.878273744144774,12.34956555260838,-40.0,-81.0,14.035668847618199,137.0,212.82,200.66576090604002
11,48.49061166337202,14.16064202511713,13.289447389661518,-40.0,-78.4,15.081114017207087,137.0,225.7,202.73492545686346
12,48.49061166337202,14.420531544960525,13.648112231828277,-40.0,-78.1,15.4722331936925,137.0,227.57,202.4116723412956
13,48.49061166337202,16.44574299164827,13.967094766453643,-40.0,-75.8,15.822768405054784,137.0,237.46,202.7887284836117
14,48.49061166337202,17.03376045899346,13.711126683222625,-40.0,-75.1,15.52385261460569,137.0,247.3,203.0665161960484
15,48.49061166337202,20.38483091249232,13.220844003270626,-40.0,-71.3,14.943560486042138,137.0,261.69,200.63417929156537
16,48.49061166337202,23.12783265733105,13.13562264057543,-40.0,-68.2,14.857994481086607,137.0,264.48,140.8564858286618
17,48.49061166337202,25.070190278755877,12.060907976899374,-40.0,-66.0,13.638181696985855,137.0,273.27,139.77838566817118
18,48.49061166337202,28.254263068545097,10.789190902930759,-40.0,-62.4,12.175385004179539,137.0,285.73,135.3870640053916
19,48.49061166337202,30.04284712230186,10.17543119572396,-40.0,-60.4,11.48216007552586,137.0,287.69,133.19674883419637
20,65.09224472101786,32.00041988500765,9.685447693480194,-20.0,-58.2,10.989085494252922,137.0,297.52,151.01758043353757
21,65.09224472101786,33.33153330959808,9.930370355135212,-20.0,-56.7,11.318568814121331,137.0,308.34,171.85140208913052
22,65.09224472101786,35.43452683349201,7.1452591378710055,-20.0,-54.3,8.155366331440911,159.0,322.88,170.5885271640505
23,65.09224472101786,36.2591521044528,6.310949954768354,-20.0,-53.4,7.2415467960926705,183.0,316.64,167.12645033028136
24,73.9174514306447,36.7680443748995,7.712746570295054,-10.0,-52.8,8.840814442120138,147.0,334.66,201.2019492947322
25,73.9174514306447,37.12128910905696,8.359424477827877,-10.0,-52.4,9.604165762834375,147.0,341.68,219.37510706550088
26,73.9174514306447,37.584701521312525,9.045071049760393,-10.0,-51.9,10.362914647916387,147.0,334.02,208.0307659938789
27,73.9174514306447,38.83155613960216,7.185326842685065,-10.0,-50.5,8.2915619758885,190.0,336.84,206.4167008747112
28,73.9174514306447,38.90566839658586,9.369081361838756,-10.0,-50.4,10.762899237658967,147.0,350.11,234.91734269738367
29,73.9174514306447,40.38808206939135,7.609272701122588,-10.0,-48.7,8.792610533851708,190.0,368.27,247.52502317947574
