Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,57.1888590070233,-0.3746122100751828,10.94187897175929,-30.0,-94.4,12.191800523302536,102.0,256.38,154.21665150041355
0,69.20378736065362,1.6912557854299046,12.71942248207335,29.000000000000306,-91.612,17.289645918872974,99.0,228.94,291.2152750114595
1,69.20378736065362,2.8800360135098,12.763244515646486,29.000000000000306,-90.31199999999998,17.275215078255922,99.0,225.51,291.88951659831844
2,69.20378736065362,5.006596272861277,13.109670765119063,29.000000000000306,-87.91199999999999,17.497732881719298,102.0,232.7,293.6293752334735
3,69.20378736065362,6.015447391261647,12.448503651133525,29.000000000000306,-87.11,16.800532729648804,102.0,207.82,217.2270415947333
4,69.20378736065362,6.563387264639022,12.210627758401868,29.000000000000306,-86.51,16.565925872102675,102.0,206.91,218.10043993536553
5,69.20378736065362,7.092225797289111,12.720962728590958,29.000000000000306,-85.91,17.02591847742731,102.0,208.85,217.88507865386285
6,69.20378736065362,7.470138823905479,12.432587617023156,29.000000000000306,-85.51,16.74663846865993,102.0,204.9,217.448775577146
7,69.20378736065362,8.461869335389526,12.111233471254167,29.000000000000306,-84.41,16.44268530380609,102.0,206.01,219.90427440138586
8,69.20378736065362,8.837526614947512,11.776076009032183,29.000000000000306,-84.01,16.116137874813578,140.0,201.32,217.24570789776254
9,69.20378736065362,9.386438297919085,11.600133477905237,29.000000000000306,-83.41,15.943083139719267,140.0,199.75,217.39748733598557
10,69.20378736065362,9.386438297919085,11.600133477905235,29.000000000000306,-83.41,15.943083139719263,140.0,199.75,217.39748733598557
11,69.20378736065362,10.005877705066789,12.644403856191003,29.000000000000306,-82.71,16.89573614850802,140.0,201.93,217.58452403606276
12,69.20378736065362,10.701609986477964,12.886218089498461,29.000000000000306,-81.91,17.121971265015038,140.0,209.13,221.80377160905084
13,69.20378736065362,11.669424097883727,13.597021699542182,29.000000000000306,-80.81,17.80881523291206,102.0,219.47,240.0945003535066
14,69.20378736065362,11.571425408415532,13.685997281728296,29.000000000000306,-80.91,17.888037902464337,140.0,220.61,239.74031346438164
15,69.20378736065362,12.179031924028791,13.72545161006402,29.000000000000306,-80.21,17.937834317442018,140.0,229.79,250.66775999318304
16,69.20378736065362,13.045045697391911,13.87944906159426,29.000000000000306,-79.21,18.088280736432655,140.0,241.03,258.8720322862244
17,69.20378736065362,14.099281121275776,14.679321961373102,29.000000000000306,-78.01,18.863984202707567,140.0,248.95,262.7896259367938
18,69.20378736065362,15.061432364873758,14.700640462830803,29.000000000000306,-76.91,18.848392504402085,140.0,255.47,262.95434793895305
19,69.20378736065362,16.021273546759673,14.546941599949715,29.000000000000306,-75.81,18.661562099674306,140.0,264.41,266.14500164384077
20,69.20378736065362,18.709757476370246,14.749756493296227,29.000000000000306,-72.71,18.80600701903518,140.0,293.95,275.0992320963474
21,69.20378736065362,19.148182110741192,14.753961323467765,29.000000000000306,-72.21,18.791644419794682,140.0,296.17,274.19850674283407
22,69.20378736065362,20.735964352808875,14.266450997939703,29.000000000000306,-70.41,18.271340946958453,140.0,304.88,274.5694913860606
23,69.20378736065362,22.294930959212884,13.72043680026225,29.000000000000306,-68.61,17.665726704554235,140.0,323.93,279.7481100919182
24,69.20378736065362,23.01155226831773,13.309755391555244,29.000000000000306,-67.81,17.239892691081362,140.0,324.92,280.0352006444904
25,73.92588318380264,23.985030676241514,13.86726292282826,29.000000000000306,-66.71,17.78161691185592,140.0,334.22,292.44081726051854
26,73.92588318380264,25.385558839889455,13.366614034209162,29.000000000000306,-65.11,17.236528072671728,140.0,346.05,293.1021451644461
27,73.92588318380264,27.209282129049082,13.157096592226742,29.000000000000306,-63.01,17.004408251979854,140.0,372.95,309.16145862639473
28,73.92588318380264,28.26560793718777,13.588233125413732,29.000000000000306,-61.81,17.404996409077498,140.0,384.23,318.78440535885693
29,73.92588318380264,28.732138918524612,13.418771853997827,29.000000000000306,-61.31,17.248011479588033,140.0,380.17,320.1535273895948
