Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,75.59282822853989,-1.0277012642654015,10.947095759188992,-10.0,-95.2,12.204917041913887,99.0,237.27,136.23096968017222
0,75.59282822853989,3.632498071885232,14.295415634903422,-10.0,-90.3,16.152708751166166,93.0,183.91,105.87956318383637
1,75.59282822853989,6.244571516532742,14.889080825893451,-10.0,-87.4,16.82973558912914,99.0,182.54,99.3700578645298
2,75.59282822853989,12.696192157670648,15.322873320201415,-10.0,-80.1,17.233397807745284,102.0,200.1,91.33077247018116
3,75.59282822853989,19.174144722095733,14.086033620293659,-10.0,-72.9,15.830034744118535,102.0,195.17,79.35150345141548
4,75.59282822853989,22.85298212881966,14.105635777523476,-10.0,-68.8,15.829087149927501,113.0,194.29,66.76350724759747
5,75.59282822853989,25.010567769224657,13.028294953659001,-10.0,-66.4,14.664242223858688,113.0,194.91,68.41638619512142
6,75.59282822853989,26.870946121886217,13.008196741121273,-10.0,-64.3,14.646159906268949,147.0,202.37,76.11315983455161
7,75.59282822853989,28.92295206870692,12.259429979366525,-10.0,-62.0,13.856406460551018,154.0,205.68,75.26272384122167
8,75.59282822853989,31.393747947160154,13.594693843989091,-10.0,-59.2,15.341447128612087,151.0,216.59,78.1824910066186
9,75.59282822853989,32.888733340342036,14.042872069241271,-10.0,-57.5,15.835087622113116,151.0,223.99,77.91950911036336
10,75.59282822853989,34.38126436626851,14.152332934712938,-10.0,-55.8,15.948667655951702,147.0,231.97,76.93067723606752
11,75.59282822853989,36.24123187719917,13.800970316159004,-10.0,-53.7,15.534155915272638,151.0,237.31,71.37180045368058
12,75.59282822853989,37.90717248242615,13.036987961209887,-10.0,-51.8,14.654692081377899,151.0,246.32,66.12471247574541
13,75.59282822853989,39.404597838974475,12.376470600942747,-10.0,-50.1,13.892084076912287,151.0,253.43,63.946892809580675
14,75.59282822853989,41.292825867230334,12.221447407608249,-10.0,-48.0,13.711309200802088,151.0,252.08,54.57319488540138
15,75.59282822853989,44.41031266639313,11.97919996632203,-10.0,-44.5,13.444329659748751,158.0,260.46,57.54709723348347
16,75.59282822853989,46.089471040022474,11.05278177610263,-10.0,-42.6,12.379014500355026,163.0,268.25,58.02729960975265
17,84.7301190770195,47.54001755632653,11.807644032114903,4.0000000000002345,-40.96,13.358083694901756,163.0,266.11,54.708115485730275
18,84.7301190770195,48.69889185521482,11.53777708411363,4.0000000000002345,-39.66,13.047773756468963,198.0,268.33,51.34531234689298
19,84.7301190770195,48.45003540959949,12.083366518390095,4.0000000000002345,-39.96,13.68789246012695,163.0,263.78,55.42158063426195
20,84.7301190770195,50.22447226308912,11.550664425124166,4.0000000000002345,-37.96,13.084280645109999,163.0,270.35,54.991158380234175
21,84.7301190770195,51.37704679504112,11.208116132924138,4.0000000000002345,-36.66,12.696629473998215,163.0,275.04,55.26950696360517
22,85.51703951986407,53.79228920413572,10.672186133383965,11.80000000000023,-33.842,12.42060529925979,200.0,282.04,54.357873394753035
23,85.51703951986407,55.93628997593475,10.281900458131295,11.80000000000023,-31.441999999999997,11.95629691836065,190.0,286.39,53.720739942781876
24,85.51703951986407,56.29270991550877,10.474825231418802,11.80000000000023,-31.041999999999998,12.163331615967738,190.0,287.47,54.23439038101194
25,85.51703951986407,56.92584970462992,10.916271309064665,11.80000000000023,-30.342,12.64576751328287,163.0,287.22,56.94814834566617
26,85.51703951986407,57.18887264579766,10.597363499348228,11.80000000000023,-30.041999999999998,12.289452225384187,173.0,289.59,60.53991988762456
27,85.51703951986407,57.55974467186788,10.917949200468849,11.80000000000023,-29.571999999999992,12.788245227551766,185.0,288.33,59.75032301167919
28,85.51703951986407,58.27051298058001,10.368081886496448,11.80000000000023,-28.771999999999995,12.174334314450235,184.0,291.0,60.1087348061827
29,85.51703951986407,58.72083373027172,10.272169299487299,11.80000000000023,-28.271999999999995,12.072133862743591,184.0,290.33,56.04481331934294
