Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,29.959745288722587,-3.15935473695894,6.241434280135725,-60.0,-97.53,6.956227425839385,102.0,241.32,223.89840910555844
0,57.35455310235676,-0.0183983885749998,10.54366323477914,-30.0,-94.4,11.943198901466893,102.0,174.04,93.90845755308732
1,57.35455310235676,2.2595386000862536,11.415102344828794,-30.0,-91.9,13.014991356124677,102.0,191.58,217.47308707056146
2,75.3978811791203,6.787519456687606,15.216041970114906,-10.0,-86.8,17.19767426136453,93.0,186.73,119.05770491656557
3,75.3978811791203,10.844315673971966,14.564967809221656,-10.0,-82.2,16.406096427852667,93.0,197.47,112.78115578411138
4,75.3978811791203,17.682111048971052,17.62335229248156,-10.0,-74.5,19.817921182606415,102.0,216.79,127.23633875587588
5,75.1888590070233,20.457642833970176,15.39536796492616,-10.0,-71.4,17.3216627377397,102.0,215.72,114.5349798096634
6,75.1888590070233,24.044602208329103,13.852217748010867,-10.0,-67.4,15.59615337190552,115.0,216.72,109.86273981655472
7,85.49165549623892,27.834906428577998,14.280062610327695,10.60000000000023,-63.093999999999994,16.50062920012447,123.0,213.58,98.10924319349326
8,85.49165549623892,29.39090300689033,14.606891913792605,10.60000000000023,-61.394,16.878991794535608,123.0,206.92,92.7377679265573
9,85.49165549623892,30.178516935689967,15.008052931506304,10.60000000000023,-60.494,17.30894462409538,123.0,211.56,91.80646164622618
10,85.49165549623892,32.38172685130929,15.921701172653732,10.60000000000023,-57.994,18.298075417923062,123.0,221.52,91.9845073911906
11,85.49165549623892,33.16332597203357,15.582356495987629,10.60000000000023,-57.093999999999994,17.927597831276792,123.0,228.1,93.61244575375649
12,85.49165549623892,34.395682599099835,15.28325065016385,10.60000000000023,-55.693999999999996,17.5869827997869,123.0,233.91,92.71721469069269
13,85.49165549623892,35.7051509436183,15.504550096964753,10.60000000000023,-54.193999999999996,17.808255501311752,123.0,243.49,94.57510190319648
14,85.49165549623892,38.347631384054424,15.079941844563685,10.60000000000023,-51.193999999999996,17.300230171879225,123.0,257.42,97.54693024385749
15,85.49165549623892,39.56877444407286,14.450061969723127,10.60000000000023,-49.794,16.573507896640358,123.0,266.28,95.88389645816444
16,85.6642577864131,41.97386874507021,15.08222131410699,14.200000000000228,-46.95199999999999,17.625257331454783,123.0,275.71,94.33994859019161
17,85.97598249381268,43.248429822401455,15.036060380116396,16.000000000000227,-45.39199999999999,17.979608894522727,123.0,272.82,82.28090665518945
18,86.27598249381268,46.19228999478183,14.739934075332842,19.000000000000234,-41.90199999999999,18.070207414415613,154.0,286.18,95.09010253438578
19,86.27598249381268,47.55136388496639,13.955188338156306,19.000000000000234,-40.40199999999999,17.233351270138986,165.0,280.36,76.15963760417982
20,86.27598249381268,48.113656261361584,14.934198903235314,21.40000000000024,-39.58799999999999,18.779772522584008,163.0,282.43,85.62934718891648
21,86.27598249381268,48.90853972830554,14.481130674587588,21.40000000000024,-38.68799999999998,18.279175473746108,163.0,285.82,83.68385507372376
22,86.27598249381268,49.622597124007704,14.43966158480241,21.40000000000024,-37.88799999999999,18.204094484483463,163.0,286.91,81.39436036974551
23,86.27598249381268,51.224904314140844,13.698873684445411,21.40000000000024,-36.087999999999994,17.39384534828343,156.0,291.93,81.31079325649209
24,86.27598249381268,52.39193458431454,13.078935211725943,21.40000000000024,-34.78799999999999,16.723775171892296,204.0,289.6,59.85315363454126
25,86.8935733118876,54.65606465558482,13.209667430910415,25.60000000000025,-32.03199999999999,17.360707819671447,204.0,292.71,58.811443614317106
26,86.8935733118876,55.54639083523148,12.813149886492322,25.60000000000025,-31.03199999999999,16.925075361722953,204.0,295.42,58.31795263896016
27,86.8935733118876,56.26234666396053,12.765563189088283,25.60000000000025,-30.23199999999999,16.836548815003667,198.0,296.79,59.068484829052466
28,86.8935733118876,57.336493336247706,12.306074224000605,25.60000000000025,-29.03199999999999,16.327466919274443,203.0,298.51,59.05040135342012
29,86.8935733118876,58.658278394188784,11.19398166335021,25.60000000000025,-27.531999999999986,15.179992621869134,203.0,306.22,55.709708310132086
