Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,30.054579391393425,-3.0596122435556823,6.14900094024248,-60.0,-97.5,6.837397165588672,93.0,230.54,128.74419753915126
0,48.31302464366018,0.3195993316428291,9.235066864165146,-40.0,-94.1,10.497142468310125,92.0,157.17,66.34697506292206
1,48.31302464366018,7.305000672094572,12.575273197128933,-40.0,-86.2,14.267445461609444,92.0,181.1,82.04322031709873
2,66.74772657195336,12.706030655329432,14.445614228495563,-20.0,-80.1,16.27851344564362,92.0,193.81,76.67381495660693
3,66.74772657195336,17.604551642303708,15.291930746209442,-20.0,-74.6,17.229045243425418,92.0,202.32,73.62579439299792
4,66.74772657195336,22.200076162364972,14.310933564633897,-20.0,-69.5,16.147755261955144,92.0,200.28,70.9274389781557
5,66.74772657195336,29.05381100277516,12.416850289671418,-20.0,-61.8,14.027116596079184,141.0,214.3,67.72569674798481
6,66.74772657195336,29.77721956638062,12.851060995904573,-20.0,-61.0,14.52583904633395,102.0,213.32,62.596945612385916
7,75.5619206910768,36.41455963128873,13.253055203677182,-10.0,-53.5,14.9248115565993,126.0,237.23,60.86408711218792
8,85.85165549623892,41.115731796609026,13.815001978290853,14.200000000000228,-48.05799999999999,15.95133336119587,141.0,254.66,51.025134982673
9,85.85165549623892,45.494047854800975,13.329390026441697,14.200000000000228,-43.157999999999994,15.375416612241775,134.0,262.48,51.09549490904262
10,85.85165549623892,48.4447955769012,13.73922711130218,14.200000000000228,-39.83599999999999,15.847962140287958,134.0,268.6,53.967953453878536
11,85.86322890233345,50.24342060050144,13.788530928646153,14.800000000000228,-37.687999999999995,16.24407141082557,134.0,272.69,53.20219826285376
12,85.86322890233345,54.335574653355565,12.349024955372863,14.800000000000228,-33.087999999999994,14.609567276274838,184.0,284.74,49.93808566615264
13,85.86322890233345,57.62191291478066,11.293859064863911,14.800000000000228,-29.38799999999999,13.40151692906443,184.0,296.98,48.52194967228749
14,85.86322890233345,59.58908614115018,10.552262484712008,14.800000000000228,-27.18799999999999,12.572503966990844,191.0,300.79,49.07021397956198
15,85.86322890233345,62.48463040153392,10.275008425518223,14.800000000000228,-23.819999999999983,12.534001755225697,156.0,301.99,53.12974590566004
16,85.97598249381268,64.66763294559414,9.467998162364248,16.000000000000227,-21.12399999999998,12.27517103750498,156.0,304.23,54.391332949285214
17,85.97598249381268,66.44541015509596,8.185536439655625,16.000000000000227,-19.12399999999998,10.916768019885787,191.0,311.12,58.912694727028054
18,85.97598249381268,67.2782168377367,8.922443657600635,16.000000000000227,-18.161999999999974,11.6739948603724,191.0,305.47,52.85933313994795
19,86.97616819497442,68.85901954068193,8.36814610402466,24.400000000000247,-16.059999999999967,11.883282374832367,183.0,302.8,55.12222782145148
20,88.95282822853991,70.35238881445186,8.349095995855912,43.60000000000029,-13.835999999999963,13.133358443292483,183.0,305.54,55.44356049172888
21,88.95282822853991,71.09783348456872,8.477270525811308,43.60000000000029,-12.871999999999957,13.335502090285242,183.0,302.85,55.19825631303945
22,88.95282822853991,71.85143615369444,7.903851525798709,43.60000000000029,-11.743999999999955,13.42984973854891,183.0,302.09,52.58994105339917
23,88.95282822853991,73.46750837763373,8.085151029685115,43.60000000000029,-9.34799999999994,14.204636426181512,191.0,296.77,50.16749046942652
24,88.95282822853991,73.77978444931819,8.766816643812325,43.60000000000029,-8.811999999999935,14.89130806880318,185.0,291.3,49.57106010567052
25,88.95282822853991,75.29269434507628,8.398192215771333,43.60000000000029,-6.653999999999923,14.765198407065277,191.0,285.95,47.075763403263046
26,88.95282822853991,77.03973087449258,8.228972393422573,43.60000000000029,-3.8019999999999032,15.075025572117719,191.0,279.53,45.002101062061534
27,88.95282822853991,78.52507696681792,7.362822119479465,43.60000000000029,-1.0999999999998908,15.290114453463165,191.0,275.56,46.11839546211468
28,88.95282822853991,79.11279456400551,8.190629600681088,43.60000000000029,-0.02599999999987688,15.75897598196035,189.0,275.45,45.83653019154046
29,88.95282822853991,80.71526964983701,6.3764875864105734,43.60000000000029,2.428000000000139,14.19430928224417,197.0,275.97,44.23628714076262
