Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,29.62668021042299,0.4796724093311122,9.117720694565694,-60.0,-93.7,10.262066068779719,93.0,199.15,106.04625170179285
1,39.361645330666256,6.657758036589213,12.498100628192338,-50.0,-86.8,13.991425945914164,93.0,204.03,98.36040412686398
2,66.4825471035353,10.33084820008105,13.881158936399832,-20.0,-82.7,15.417846801677594,102.0,200.18,76.73152937352415
3,57.629361971872335,16.808256829697893,13.075966163173101,-30.0,-75.6,14.58218090684655,101.0,178.01,51.20048730236851
4,48.27641489804762,13.663671775067991,13.32929187904611,-40.0,-79.1,14.838800490605704,124.0,177.35,51.43021971564967
5,66.21310261863329,14.772826517410763,15.086676389243753,-20.0,-77.9,16.86979549372191,123.0,171.42,43.7010709250929
6,66.41275134159974,17.001892673451625,13.58819942041818,-20.0,-75.4,15.19341962824696,123.0,174.82,42.70559213967182
7,75.36164533066625,17.603953994370997,14.582057820580614,-10.0,-74.7,16.276056033326995,123.0,179.42,41.5358110550402
8,75.16811752271649,15.259161073924593,14.6642062864968,-10.0,-77.3,16.36184586163798,123.0,180.59,43.53024121228827
9,66.1828888400368,17.475759754783038,14.558031478183931,-20.0,-74.8,16.277591959500644,114.0,188.0,51.299317734254515
10,86.41703951986408,15.845039912449016,19.037893567988416,20.80000000000024,-76.392,22.013376297151705,124.0,194.45,52.82998674995102
11,85.97598249381268,19.262847503368025,18.102811510952733,16.000000000000227,-72.564,21.061896970595992,124.0,195.3,52.1999042144715
12,86.41703951986408,18.000417438622172,19.535429848914973,20.80000000000024,-73.992,22.616594261736235,122.0,198.42,68.4283830000388
13,75.44317193830047,17.500594572568932,20.03427532661879,-10.0,-74.7,22.470202491299446,123.0,203.46,63.04227470515321
14,75.21617481767026,19.26720156189864,22.154569526205186,-10.0,-72.7,24.8135043877321,123.0,210.02,62.993488552389294
15,66.19788162462294,15.328637408025688,20.44122304077508,-20.0,-77.1,22.90392979381486,114.0,205.48,61.51544196378662
16,66.19486503108351,18.90112685144472,19.425409716997077,-20.0,-73.1,21.757527433051763,124.0,211.36,64.76812796430046
17,75.21617481767026,16.65002260295374,22.378685563983076,-10.0,-75.6,25.072694310743714,104.0,211.15,60.6764163411123
18,75.20394224923463,16.889981014282696,21.554270865259067,-10.0,-75.4,24.18346542578214,114.0,200.22,63.02818099866122
19,75.19788162462294,19.17372809199899,21.7525308826159,-10.0,-72.8,24.37539743265738,124.0,210.44,62.113979102936234
20,75.20698639161586,21.079023053171568,21.605160110779202,-10.0,-70.7,24.217968535779377,113.0,207.46,62.48398514819618
21,75.19185751001956,18.36756131566563,21.604017464811314,-10.0,-73.7,24.193180857423442,124.0,209.54,60.45765791030942
22,75.19185751001956,21.960931675497285,23.028981780424584,-10.0,-69.7,25.824600674550613,124.0,211.48,63.70784567068643
23,66.20090734553948,19.083962187236864,20.584473391441826,-20.0,-72.9,23.077911517292897,124.0,210.04,60.175064603205875
24,66.31642023266132,19.534437642576194,18.233404265622124,-20.0,-72.4,20.40196069009055,124.0,207.77,51.14017109865785
25,86.69598249381268,19.935001268537288,21.249937665321536,23.200000000000244,-71.76799999999999,24.550694002410616,113.0,206.6,60.46354273444454
26,86.99165549623893,22.184703647345337,25.49588086092452,25.60000000000025,-69.14399999999999,29.2174753187198,124.0,227.62,68.069931687934
27,84.60394224923465,22.809530362907708,24.360379081752892,4.0000000000002345,-68.66,27.403729673166758,124.0,223.39,65.16546554732805
28,84.21105438238982,19.637937248212282,24.119712631909206,0.40000000000023406,-72.296,27.060857044816604,113.0,209.36,67.84489958722027
29,66.21925648420768,16.874234226904267,20.316166592071863,-20.0,-75.4,22.821919288263206,123.0,203.09,63.11055300027088
