Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,48.829516004961846,-1.5463413611655061,9.064056790957647,-40.0,-95.7,10.124722218411723,102.0,259.01,160.24465638516622
0,48.829516004961846,1.2994494379569448,10.116398051228053,-40.0,-92.508,11.678884193278062,102.0,225.61,244.88862345972706
1,57.38687189361193,5.378193249681654,11.950174186055193,-30.0,-88.2,13.592645070036959,102.0,223.33,158.2455721339463
2,57.38687189361193,10.29385186394344,13.032591254364128,-30.0,-82.6,14.739063742314162,102.0,250.44,174.08011488966795
3,57.5028317747068,13.861430205531725,13.642559201080864,-30.0,-78.7,15.404869360043271,99.0,231.17,157.56738590203238
4,57.5028317747068,17.033495053455905,12.445423848636345,-30.0,-75.2,14.034243834279067,131.0,223.22,151.7698639387939
5,66.17991706964764,20.883512242282833,12.557105472937327,-20.0,-70.9,14.148851543499921,124.0,225.5,146.60849225061963
6,66.17991706964764,23.532223881644768,13.391827752491148,-20.0,-68.0,15.0996688705415,119.0,210.89,109.83067831894694
7,66.17991706964764,25.404592726927277,12.191149012885791,-20.0,-65.9,13.790939054321141,124.0,214.85,112.49909999639998
8,75.1363688244019,26.045057576706753,14.106494084072757,-10.0,-65.2,15.904716281656835,102.0,208.72,90.81223265617908
9,75.1363688244019,28.95673786751835,14.576965092593031,-10.0,-61.9,16.47391878090942,147.0,225.95,135.28092067989482
10,75.1363688244019,30.568992824036037,13.28745826522586,-10.0,-60.1,15.066187308008617,156.0,227.13,134.26158460259586
11,83.8753166091058,31.98300039159094,14.90296226194619,0.0,-58.5,16.874537030686206,141.0,234.56,138.46539784364901
12,83.8753166091058,33.9202941365606,15.165344308305587,0.0,-56.3,17.1262955714305,138.0,244.2,138.60613262045803
13,83.8753166091058,37.27138670145706,16.58118248732212,0.0,-52.5,18.6748493969831,138.0,261.14,142.9585968034102
14,83.8753166091058,40.46236742522507,16.656376039705,0.0,-48.9,18.756065685532242,138.0,271.58,138.84424222847701
15,83.8753166091058,42.59740557743613,15.708301332270542,0.0,-46.5,17.684739183827393,138.0,276.56,136.08925894426793
16,83.8753166091058,44.650006567584654,16.20338207554592,0.0,-44.2,18.230743265155155,138.0,279.59,131.38935230832064
17,83.8753166091058,46.69230825204474,15.894328430040181,0.0,-41.9,17.871485668516762,138.0,286.38,129.8808515524902
18,84.58254710353532,50.521487016654135,16.111934965170626,1.000000000000234,-37.58599999999999,18.091550624531894,163.0,296.3,126.40897911145396
19,84.58254710353532,52.06892753876237,15.830046214397143,1.000000000000234,-35.885999999999996,17.810294888069663,163.0,289.34,117.66607157545458
20,84.58254710353532,54.201868784141524,13.58912246683432,1.000000000000234,-33.486,15.28723009573678,163.0,295.42,114.47202103570984
21,84.58254710353532,55.10093374205033,13.685203749832194,1.000000000000234,-32.486,15.41659508451851,153.0,296.52,115.92113526014141
22,84.58254710353532,57.51130035315137,12.696369760888789,1.000000000000234,-29.775999999999996,14.332181411076277,149.0,302.26,115.44294001800196
23,84.58254710353532,57.95659952974873,12.921721711536923,13.600000000000229,-29.13999999999999,14.890654787483344,163.0,310.32,132.29791230401182
24,85.97060701409177,58.60265755148875,13.298333335881582,17.20000000000023,-28.267999999999986,15.67640826209884,163.0,310.97,132.8357975095569
25,85.97060701409177,59.31247728339313,13.285421612076012,17.20000000000023,-27.467999999999993,15.63133314851938,163.0,313.6,131.86220080068435
26,85.97060701409177,60.66874789307978,13.47366356787742,17.20000000000023,-25.897999999999982,15.925237706232235,163.0,314.22,132.33628225093827
27,85.97060701409177,61.741600572732935,12.750651157021128,17.20000000000023,-24.69399999999998,15.11712816642106,181.0,315.82,131.2566478316432
28,85.97060701409177,63.63739513539602,11.894088149762275,17.20000000000023,-22.369999999999976,14.56009271948504,181.0,321.9,134.18610211195494
29,85.98619038813077,65.00787363015993,11.272632024555673,19.600000000000236,-20.673999999999978,14.277272988914982,175.0,320.74,131.0559132584257
