Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,66.98378736065361,-1.0158959511505965,10.304848589524228,6.800000000000253,-94.83200000000001,13.279840962903151,98.0,284.55,254.06909985277628
0,66.98378736065361,2.0396303522090853,11.229152724310621,6.800000000000253,-91.41,14.444469529892768,98.0,231.67,298.67899340261613
1,66.98378736065361,6.778860311504694,12.623568486919039,6.800000000000253,-86.432,15.65157423392294,98.0,227.37,241.32126532902151
2,66.98378736065361,11.024043713303158,11.88604694509975,6.800000000000253,-81.632,14.753947810670892,93.0,235.55,230.87955193130466
3,66.98378736065361,14.474432476360125,11.825951649324198,6.800000000000253,-77.832,14.61650354907084,93.0,228.78,232.3942159349066
4,66.98378736065361,17.41591205275555,11.577217970423419,6.800000000000253,-74.632,14.33621205200315,93.0,206.32,212.06276806643828
5,75.15645558296865,21.002048930285156,10.685549944762126,-10.0,-70.9,12.007914056987584,123.0,184.7,52.07427387875899
6,57.36521039683075,23.52194876663893,7.874850887059924,-30.0,-68.1,8.910106621135348,124.0,184.1,49.45775975516886
7,57.36521039683075,24.431936088434437,6.491241717741006,-30.0,-67.1,7.38850458482635,148.0,181.8,47.43353244277723
8,57.36521039683075,24.96326651161895,6.732936094986508,-30.0,-66.5,7.664854858377946,148.0,183.72,49.351409301052385
9,57.36521039683075,25.831622228774624,7.3802381401576165,-30.0,-65.5,8.411301920630361,148.0,190.78,55.199561592461954
10,57.36521039683075,26.96666219175005,8.25024421951567,-30.0,-64.2,9.399999999999999,147.0,198.48,59.388126759479455
11,66.12788221052459,28.902034533829934,9.893439255876954,-20.0,-62.0,11.224972160321824,148.0,208.07,62.421191113274986
12,66.25060701409174,32.42360919181854,11.585225009696211,-20.0,-58.0,13.114877048604,148.0,226.23,70.79037434566933
13,66.25060701409174,33.837104852803556,12.163335868856636,-20.0,-56.4,13.749181793837769,148.0,231.23,67.05085458068375
14,66.25060701409174,36.29556540996593,12.572531705078413,-20.0,-53.6,14.178857499812882,148.0,245.06,67.75039778481009
15,66.25060701409174,38.87188057091643,12.367390542374125,-20.0,-50.7,13.946684193742973,148.0,252.87,66.78093365624653
16,66.25060701409174,41.70056637503479,11.955418963272598,-20.0,-47.5,13.444329659748751,148.0,263.96,60.88709551292458
17,66.25060701409174,44.45204844280207,11.072620770214105,-20.0,-44.4,12.435433245367852,159.0,272.42,54.965840301045155
18,85.91070308686625,48.12490588025009,12.051077004780574,17.80000000000023,-40.105999999999995,14.131622836744564,163.0,283.25,61.82238672196343
19,85.91070308686625,47.688522688923,12.934265391405361,17.80000000000023,-40.605999999999995,15.11114701139528,163.0,280.59,65.16135280977521
20,85.91070308686625,49.559788271916595,12.114279920670127,17.80000000000023,-38.50599999999999,14.194434261357529,163.0,285.25,63.41314926732468
21,85.91070308686625,51.171593152393534,11.86002931561733,17.80000000000023,-36.705999999999996,13.887532682229788,163.0,286.46,57.66756800837018
22,85.91070308686625,52.95163511509105,11.570599794074218,17.80000000000023,-34.705999999999996,13.553138529506752,195.0,291.89,57.40904022886988
23,85.91070308686625,54.46021706802402,11.311894215734718,17.80000000000023,-33.00599999999999,13.258882456677878,163.0,298.73,61.03881633845794
24,85.91070308686625,55.16979286341366,11.391135575724855,17.80000000000023,-32.205999999999996,13.340448418250428,151.0,302.06,61.53451389261152
25,85.91070308686625,55.971180361797025,10.981444682398296,17.80000000000023,-31.305999999999994,12.889079253383478,151.0,304.58,62.29063814089562
26,85.91070308686625,56.862212064033,11.040042750973685,17.80000000000023,-30.305999999999994,12.951461847992308,162.0,308.16,71.48086737022713
27,85.91070308686625,58.38151879500756,10.133103941010736,17.80000000000023,-28.605999999999995,11.953692483914766,204.0,311.37,72.85968089416806
28,88.22772932632856,59.76619956945014,10.87629765620757,37.00000000000028,-26.73599999999999,13.894974055391419,162.0,312.7,74.59135338630075
29,88.22772932632856,61.18587518715116,9.510335196632962,37.00000000000028,-25.13599999999999,12.492617980231394,203.0,318.47,73.3066784133615
