Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,56.10837410294775,0.0567988997291827,11.26251053008186,100.0,93.6,12.531560158256433,147.0,376.28,312.9853376757448
0,39.28957298262513,4.355349489481318,11.465903693088022,100.0,89.1,12.735383779062175,133.0,274.68,227.98253792779832
1,48.03642065638155,8.400026728303223,13.079374308989363,100.0,84.6,14.589036979869508,147.0,254.38,140.40326064589811
2,38.35360948515227,8.345489897680014,12.298660098311858,100.0,84.7,13.744453426746368,132.0,242.06,107.47342183070194
3,39.4316554962389,11.536584985637472,13.045515029060683,100.0,81.2,14.51068571777364,130.0,225.2,63.631595925294846
4,30.579465000727716,15.428683116650848,9.817358170461352,100.0,76.9,10.926573113286711,137.0,216.94,48.683841261757465
5,30.57065437104556,12.07101874885667,11.806643613969404,100.0,80.6,13.101144988129853,130.0,232.82,129.3697321632846
6,30.711732969305466,14.577496582593206,11.363993429772872,100.0,77.8,12.615863030328127,135.0,241.62,173.41417358451417
7,30.06775481255199,13.81394357971877,11.105923820407591,100.0,78.7,12.462343278854101,143.0,217.71,56.60888534497036
8,38.60975933293465,15.328902363219894,11.38476269620358,100.0,76.9,12.624975247500489,140.0,247.23,95.39862210744974
9,30.67212383121042,14.363525073570154,10.813615148164441,100.0,78.0,11.916375287812984,141.0,244.61,132.7053800717966
10,30.686794020958214,13.537828986472153,11.300208555580166,100.0,79.0,12.609520212918492,129.0,226.04,125.47748164511432
11,30.711732969305466,16.119963049674936,10.457099011708436,100.0,76.1,11.652896635600952,134.0,224.26,53.9495356791882
12,30.701682633451963,13.705527931189296,10.716666313585893,100.0,78.8,11.93984924527944,149.0,229.61,129.58540774331033
13,30.711732969305466,17.594698958286976,8.845391972464768,100.0,74.5,9.937303457175895,149.0,216.97,57.768928499670125
14,30.57065437104556,17.15737935130773,8.343329050254072,100.0,75.0,9.327379053088816,129.0,213.14,46.12505176148857
15,30.716796271262012,16.219441048819355,9.020503096787808,100.0,76.0,10.0,155.0,222.04,56.375157649446976
16,30.435479592677307,14.465910637314776,10.236738583806813,100.0,77.9,11.339753083731585,149.0,241.99,136.0939010389518
17,30.711732969305466,15.678349964017116,10.516287720873198,100.0,76.6,11.68075340035907,140.0,235.62,155.0377231514963
18,30.61550493721091,15.559074554277688,9.603421255814748,100.0,76.7,10.682228231974824,131.0,229.73,60.965048183364864
19,39.185869468174936,16.368237358630978,9.86894371143481,100.0,75.8,10.97087052152198,137.0,230.38,63.13775098940411
20,38.4489196649566,16.389351119085468,10.282678459738035,100.0,75.8,11.504781614615723,156.0,224.37,59.66349889170094
21,56.61143859445437,16.404080637043805,10.271016707696466,100.0,75.8,11.504781614615723,147.0,221.93,62.00697622042217
22,30.706695175275506,15.73806905752893,9.874604884183146,100.0,76.5,10.988630487917955,127.0,230.46,63.62506110016712
23,30.515203066509343,14.515229992834856,10.223554116897118,100.0,77.9,11.339753083731585,137.0,229.05,128.931483742335
24,22.080019074171876,12.046552755842947,10.653137975436255,100.0,80.6,11.81693699737796,135.0,233.05,73.78270461293758
25,30.49061166337202,15.6928723445379,9.798613202461503,100.0,76.6,10.974515934655159,141.0,219.16,52.822480062942894
26,73.92250194643077,13.585324729742775,12.535979198126055,100.0,78.9,14.063783274780652,139.0,234.99,114.54732602728008
27,30.58835394814496,14.684450056336335,9.992220653823056,100.0,77.7,11.122499719037984,128.0,225.61,68.39925365089886
28,30.696695091940924,14.328878398421873,10.815240135706608,100.0,78.1,12.057777573002417,147.0,223.68,64.6867652615278
29,30.527729326328526,13.352059927445369,11.187796824740728,100.0,79.2,12.464349160706307,136.0,222.78,71.8564652623548
30,30.53616819497439,12.831829336619824,11.15586548687608,100.0,79.8,12.408061895396878,137.0,223.85,132.00131628131592
31,65.02739374869824,15.316821684524104,11.461792850839133,100.0,77.0,12.84523257866513,130.0,229.73,106.12104927864216
32,39.3062678611973,10.109017926776064,12.253907689258762,100.0,82.49599999999998,13.596013533385443,135.0,244.3,163.40529367190035
33,39.24742736117437,10.139176309429788,12.709471795656887,100.0,82.7,14.131878855976653,135.0,246.17,139.3014755844316
34,30.575049982518596,15.513622406564794,10.186555207851505,100.0,76.8,11.391224692718513,135.0,218.54,49.251278156003224
35,30.494668464067637,14.080060583566281,10.349044754924213,100.0,78.4,11.551623262554921,149.0,216.53,44.90978846532235
36,30.711732969305466,14.748473258901093,10.76166180199315,100.0,77.6,11.92644121270046,140.0,232.56,75.44936315171917
37,30.711732969305466,14.310454692541837,10.698236446639614,100.0,78.1,11.89075270956385,149.0,227.45,60.75267483823244
38,65.07048322923634,13.421365715599409,12.602078886671222,100.0,79.1,14.148851543499921,131.0,230.55,101.86102051324637
39,30.691732302598794,14.534005248551082,10.77957142077658,100.0,77.8,11.96494880891682,144.0,245.77,116.78491811873654
40,39.4316554962389,15.899896513845444,11.562799808530674,100.0,76.3,12.857293649909378,142.0,243.47,135.67501280633806
41,38.41520860761428,14.487707748967146,10.939859885156068,100.0,77.8,12.1309521472966,148.0,264.24,149.47207899805235
42,56.73660173740838,13.005147706635011,12.466214654549233,100.0,79.5,13.88344337691482,129.0,253.03,150.41226379521052
43,74.59974255469118,14.153489199165165,12.45404418287107,100.0,78.3,13.932336487466847,137.0,224.03,68.03770351797597
44,87.1705910672914,14.760362925859711,14.630894112749234,100.0,77.182,18.55832093698136,138.0,258.53,191.84152079255423
45,30.711732969305466,13.06558191609909,10.603836804485734,100.0,79.37799999999999,11.695363012749965,137.0,270.17,195.482892090331
46,30.706695175275506,13.744261263268895,11.308185109002736,100.0,78.7,12.621806526801146,147.0,237.75,84.88867710124832
47,30.58835394814496,14.548762100695772,10.994449051174824,100.0,77.8,12.294714311442947,130.0,242.04,94.45146054985068
48,30.58835394814496,14.301684574434086,11.151026161106312,100.0,78.0,12.409673645990857,130.0,259.62,100.63217974385728
49,30.63402398497815,15.863139444635953,9.746898826841829,100.0,76.3,10.83097410208334,132.0,251.41,114.30346407699112
