Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,39.676990020861595,-1.0964057584661198,8.034048990301157,-50.0,-95.4,9.101648202386201,93.0,213.28,117.84176509200802
1,57.409013019489144,2.59401694765751,12.261244597475269,-30.0,-91.2,13.731715115017494,94.0,244.67,225.08638586107332
2,57.25060701409175,4.229985865819017,12.854008193259535,-30.0,-89.4,14.270248771482576,102.0,217.35,87.42017787673507
3,48.31302464366018,5.59021181437871,12.21960006846444,-40.0,-87.9,13.586390249069103,101.0,228.74,205.35752335865368
4,56.555868743299555,6.909821178085566,12.915710085461173,-30.0,-86.5,14.378803844548406,102.0,208.13,136.8317693373874
5,57.55326262833369,10.141623872960304,13.490978585874938,-30.0,-82.9,14.98632710172843,102.0,206.46,105.70084389445526
6,66.4316554962389,13.066395025242711,15.122905720703242,-20.0,-79.6,16.788091017146648,102.0,214.71,98.62467186257199
7,57.58389959779558,12.421228203525027,14.942964434609612,-30.0,-80.3,16.64061296947922,102.0,230.29,187.43453763914482
8,75.44317193830047,10.581143951338433,16.039179249842338,-10.0,-82.3,17.824421449236436,124.0,229.04,123.8337530724156
9,75.15645558296865,11.180851778859655,15.41312964663474,-10.0,-81.7,17.09122581911549,124.0,213.69,133.1064758003907
10,66.44704041507838,9.939590553221493,14.616619439400008,-20.0,-83.066,16.19738386283414,109.0,219.67,211.07629213154186
11,57.59282822853988,11.778562861106755,13.774170513785924,-30.0,-81.1,15.224651063324899,122.0,196.44,81.97405931146754
12,57.054579391393425,10.537080685063057,13.55699986267172,-30.0,-82.5,15.058220346375597,102.0,193.19,75.45842497693681
13,48.49874178945527,7.984050351137877,13.794435787170926,-40.0,-85.3,15.326773959317075,102.0,209.49,142.7195498171151
14,66.19185751001956,8.347715286833337,13.077470342842132,-20.0,-85.0,14.594519519326424,102.0,182.69,69.22812939838835
15,48.38687189361193,10.184007541950415,12.263066299882555,-40.0,-82.9,13.586390249069103,102.0,190.82,66.11329367078909
16,48.427845967822236,14.052354587168141,12.271346516162973,-40.0,-78.6,13.63964808930201,102.0,190.88,65.13482632202223
17,66.14492807779757,9.026415195949266,13.295912080175784,-20.0,-84.2,14.7770091696527,102.0,192.61,90.21717076033809
18,39.648141866523936,12.475316161722793,13.555161486381797,-50.0,-80.3,15.063532122314474,124.0,201.82,81.04102417911561
19,57.4316554962389,10.159723191980527,13.824598093093336,-30.0,-82.8,15.367498169838838,102.0,231.37,154.6465424767072
20,39.05196501081935,8.981507219956345,12.374873071468665,-50.0,-84.2,13.724430771438207,102.0,209.77,148.91513388504202
21,48.299556426609314,12.421853341365356,13.263440226753723,-40.0,-80.4,14.759403781996074,123.0,196.31,80.76926333698978
22,38.936214791312395,11.651830024778453,12.459840497677208,-50.0,-81.3,13.831485820402666,107.0,185.91,65.86214314763832
23,30.36521039683075,11.920634681511466,11.115405133041424,-60.0,-81.0,12.288205727444508,117.0,185.4,65.84770307307613
24,21.912403664767616,10.466811183049149,11.474426498462023,-70.0,-82.6,12.69803134347998,102.0,197.81,146.90423377152885
25,39.4165036912183,10.767778265905138,12.387828266975168,-50.0,-82.3,13.773525329413673,102.0,182.1,61.09508981906811
26,30.39052820481504,11.328609379785428,10.937278337030113,-60.0,-81.6,12.059850745345068,123.0,199.84,87.55326607271712
27,56.62668021042299,13.629360181042035,13.016164943127166,-30.0,-79.1,14.497930886854167,124.0,185.96,67.77815577308075
28,86.55008172177351,10.988803496663236,14.575728851650926,28.600000000000257,-81.714,17.691856996935076,102.0,209.48,153.1146942654427
29,86.0997425546912,10.535124480135188,15.16733647581016,25.00000000000025,-82.25,18.11594601449233,102.0,199.79,78.95052818062715
30,48.35455310235676,12.625835509711454,12.252683939144411,-40.0,-80.2,13.563185466548779,102.0,194.97,131.13218178616566
31,66.19486503108351,13.413537932167333,14.047373493247845,-20.0,-79.3,15.636815532582077,102.0,191.98,60.0413157750561
32,75.23794861721983,15.111070950426162,16.506682575444632,-10.0,-77.4,18.418468991748476,102.0,194.4,59.125121564357066
33,57.37237888630936,13.046960077044414,13.688272759546413,-30.0,-79.7,15.195723082499233,102.0,194.46,67.94312621597567
34,48.368788218178636,12.217932737787317,13.699754708043399,-40.0,-80.6,15.219724044804492,102.0,206.62,131.65787329286462
35,75.20090734553948,13.752684190229642,14.945460265644176,-10.0,-78.9,16.606926265868704,102.0,200.25,83.36154689063777
36,48.443171938300466,9.418704710462423,13.123461467967196,-40.0,-83.7,14.467549896233292,102.0,200.74,74.66158583903774
37,74.49571182646335,13.353727770158605,15.850632041059633,-10.0,-79.3,17.67795237011346,123.0,206.27,77.75060835774856
38,66.17399989261955,13.01860023646597,14.386080547020418,-20.0,-79.7,15.96590116466966,121.0,201.75,76.80590797588425
39,48.56192069107681,13.27352056524836,12.468724787852157,-40.0,-79.5,13.88344337691482,102.0,184.08,59.8350532714729
40,75.16518926293739,14.24323452970904,15.84462281979199,-10.0,-78.4,17.704236781064584,102.0,194.54,111.64501063639163
41,66.1593583426266,13.16961053960044,14.604344267365676,-20.0,-79.6,16.304600577751053,102.0,187.35,60.57794565681474
42,48.26665872310225,13.252166609323629,13.179822809600857,-40.0,-79.5,14.654350889752845,102.0,189.57,65.89616908440127
43,66.11389596854984,12.778221390155496,15.438747786145283,-20.0,-80.0,17.204650534085253,102.0,193.14,59.08925790700033
44,66.07041085661011,15.161001915320483,14.822879530087828,-20.0,-77.3,16.544183267843717,102.0,211.37,111.80837669870716
