Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,56.744249958246634,1.7756475287596993,11.5319998366761,-30.0,-92.3,12.950289572052048,102.0,189.71,90.91086788717837
1,39.27968822339259,4.4318830920356875,10.79739153651166,-50.0,-89.3,12.021231218140677,102.0,194.02,84.24108023998743
2,56.94556065373063,6.792579340479919,13.812266952398462,-30.0,-86.6,15.441502517566095,102.0,216.81,119.70160358157278
3,75.16811752271649,8.570636081386988,15.429957046450767,-10.0,-84.6,17.229045243425418,102.0,212.66,86.06012084583661
4,84.29060701409176,12.256550302110584,15.86656984273655,0.40000000000023406,-80.426,17.6394479505454,102.0,230.61,218.36748361420476
5,57.28957298262513,10.756759791488072,14.69549708622708,-30.0,-82.2,16.406096427852667,102.0,208.49,99.16274451627487
6,66.14779752022552,12.001373558946222,15.535984705337295,-20.0,-80.9,17.383612973142267,102.0,190.1,72.13840863229518
7,48.344008189180144,14.15920963288194,12.665829807462648,-40.0,-78.4,13.979985693841037,124.0,210.24,102.41212037644762
8,57.19788162462294,12.337407064937883,13.017451841103426,-30.0,-80.5,14.44818327679989,124.0,191.3,64.50310070066399
9,88.67773325310404,15.475551968161525,14.614511904202711,49.60000000000031,-76.604,18.905787050530343,102.0,184.67,57.42961866493631
10,48.23480889721515,12.900780674591285,12.456977996715898,-40.0,-79.9,13.819913169047046,102.0,186.05,55.10324400613815
11,39.63402398497815,14.64448204381384,11.125565690261118,-50.0,-77.9,12.27151172431498,123.0,205.98,127.18482456645526
12,39.73214184093667,11.809998888007684,12.158474391593296,-50.0,-81.1,13.408579343092242,104.0,189.87,70.7093565237303
13,48.435479592677304,13.27998334508141,12.207606721077997,-40.0,-79.5,13.592277219068187,102.0,182.94,61.660655202487106
14,39.37237888630936,12.378755475418528,12.049419875455888,-50.0,-80.4,13.335666462535722,120.0,214.62,140.41066768589914
15,66.19486503108351,13.994797860444628,12.73672135255188,-20.0,-78.7,14.188375523646108,124.0,184.56,67.27069495701676
16,48.31302464366018,12.305805051116407,13.369656777180602,-40.0,-80.5,14.79019945774904,118.0,197.86,68.02573336613139
17,57.42027017401378,9.084510732643409,14.588076678819553,-30.0,-84.1,16.253922603482522,105.0,196.99,79.39187552892298
18,66.10559716573515,10.827009191567816,14.93595740726668,-20.0,-82.1,16.63099515964093,102.0,214.09,129.17136640912335
19,84.54394224923465,11.097490340148335,15.126045211031146,3.4000000000002344,-81.766,16.983428511346006,123.0,210.05,87.10457795087467
20,66.21003982910274,11.680510433874378,14.464328715705763,-20.0,-81.2,16.141871019184855,102.0,198.89,76.56041993092776
21,66.47853908213776,13.979426034066357,16.022045688316894,-20.0,-78.6,17.88966181905069,102.0,206.25,70.93467064842129
22,66.20090734553948,14.880883140205443,17.33223941910057,-20.0,-77.6,19.396906969926935,102.0,209.66,84.76664674269001
23,84.1710543823898,11.483617215035583,16.46665870145989,0.0,-81.3,18.42036916025301,123.0,229.38,109.58510665231839
24,66.21617481767026,14.349603698081529,13.34590212797436,-20.0,-78.1,14.81181960462657,122.0,243.93,218.58642478434018
25,74.47058116173777,12.528986917060728,14.74750022157779,-10.0,-80.1,16.400914608643017,133.0,235.73,109.25812143726432
26,85.2900817217735,12.971232612840783,16.737786431484857,16.000000000000227,-79.488,19.53172434783987,113.0,226.76,169.18629495322608
27,57.3062678611973,12.588984053945916,14.67141192920078,-30.0,-80.1,16.339828640472337,123.0,220.58,99.15030811853285
28,39.68679402095821,10.59776154322646,12.410663484756295,-50.0,-82.4,13.720058308913995,102.0,200.66,83.5576711020598
29,57.4316554962389,13.45454450734265,13.337333739609738,-30.0,-79.2,14.810806865258895,104.0,209.56,103.26009103230541
30,48.299556426609314,11.038524928078262,13.115328054223369,-40.0,-81.9,14.539257202484588,107.0,207.95,121.86618686083519
31,66.1593583426266,11.41406447882587,13.84040675469048,-20.0,-81.5,15.451537140362444,102.0,198.34,75.55067438481274
32,48.629361971872335,11.683589784202198,12.924500343732221,-40.0,-81.2,14.372195378577342,123.0,196.45,67.65092386656667
33,85.68394224923465,12.932402577318337,15.266008894845205,14.800000000000228,-79.652,17.656423646933725,124.0,206.04,100.03058732207865
34,65.63009901717177,10.598374305839094,14.461425503633134,-20.0,-82.4,16.06984754128053,124.0,197.07,68.59318552159537
35,57.14492807779757,11.66978008894472,13.012347207770835,-30.0,-81.2,14.372195378577345,102.0,205.66,122.20983757455862
36,66.46266573298146,12.720622380933222,13.209617410581366,-20.0,-80.1,14.66253729748027,102.0,189.12,73.32029459842614
37,57.29288973525112,12.162713087357217,13.392131346006858,-30.0,-80.7,14.91676908717166,113.0,192.81,76.1312938284908
38,66.17991706964764,11.142189467482606,12.929817356733015,-20.0,-81.8,14.309437445266676,123.0,198.56,76.93117963478787
39,57.36521039683075,12.592269755763771,12.466088236642454,-30.0,-80.2,13.782597723216043,116.0,194.54,64.11262278210118
40,30.706695175275506,10.768166108479738,12.11671098689078,-60.0,-82.3,13.405595846511263,102.0,179.02,43.88256601430687
41,39.64341372532799,12.060767353699458,11.849818861133496,-50.0,-80.8,13.166624472506232,113.0,199.43,111.9843966809662
42,39.20090734553948,10.27150203051535,12.383436969491928,-50.0,-82.8,13.717142559585797,101.0,194.77,80.80134342942573
43,57.5028317747068,12.499926388609449,13.097134940723345,-30.0,-80.3,14.522740788157035,107.0,193.92,58.529254223849456
44,66.28626719449063,12.524031277575341,15.045820609552582,-20.0,-80.3,16.760369924318496,102.0,191.32,69.13955163291124
45,48.59282822853988,11.633028025766796,13.230789114879709,-40.0,-81.3,14.673445403176444,112.0,190.11,74.75906567099405
46,66.26665872310225,11.397546656405408,15.137751666788544,-20.0,-81.5,16.874537030686206,101.0,214.88,174.52279392675325
47,57.26342770252081,11.860486824014242,13.71701407308309,-30.0,-81.0,15.264337522473747,102.0,199.63,76.83588419482138
48,66.19486503108351,13.311260419139588,14.816857937174282,-20.0,-79.4,16.54206758540177,104.0,194.19,60.435535076641784
49,75.18586946817493,11.126509954197541,15.509787418056883,-10.0,-81.8,17.284675293449975,102.0,199.26,64.68734342976221
