Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,66.07842158035618,0.8426141733428137,11.174164876378189,-20.0,-93.3,12.494398745037714,102.0,198.68,101.01434353595532
1,48.482547103535296,2.1528595613212484,10.50557121875372,-40.0,-91.8,11.86423195997111,102.0,219.59,209.99495684420617
2,75.20090734553948,6.297062215936445,16.056123040620772,-10.0,-86.874,17.93922306009934,102.0,238.95,217.33919917953136
3,39.46266573298146,6.310635666625377,12.079285354101817,-50.0,-87.1,13.43837787830064,111.0,216.64,98.45715007047482
4,65.93389190989625,8.623447885611547,13.102901554077375,-20.0,-84.5,14.654350889752845,102.0,221.84,100.65433125305637
5,57.63402398497815,9.301565022273424,13.753403091289329,-30.0,-83.8,15.28266992380585,101.0,209.31,86.54579076997332
6,48.54041448585584,6.012598655765608,11.97939527981271,-40.0,-87.5,13.294735800308331,102.0,211.75,172.25227864965967
7,66.16811752271649,7.986533887586019,13.47279795773379,-20.0,-85.3,14.996999699939986,102.0,207.67,106.91071555274523
8,57.17399989261955,8.668312918840503,13.398670604829245,-30.0,-84.5,14.9248115565993,102.0,210.88,90.36506847228081
9,48.25060701409175,8.701787675389387,12.160592838426766,-40.0,-84.5,13.518505834595775,123.0,204.57,99.8379942707184
10,39.5028317747068,13.997990567777956,11.502666469809922,-50.0,-78.7,12.779280104919842,113.0,181.97,53.4738169574606
11,30.989364705903746,8.160306415763596,11.780076501861004,-60.0,-85.2,13.075167302944923,102.0,181.55,59.072053460159985
12,48.26342770252081,11.431132087695332,13.227529077961968,-40.0,-81.5,14.722431864335457,124.0,192.88,67.57385293144088
13,56.628388152768146,9.683558894621958,14.25046533232768,-30.0,-83.4,15.88836051957533,102.0,206.71,95.16809286730505
14,66.2634277025208,13.535157968282626,13.213364119169649,-20.0,-79.2,14.743133995185692,106.0,187.46,67.66940519910013
15,48.299556426609314,13.084324448187788,13.297123905179689,-40.0,-79.7,14.795607456268904,123.0,186.18,62.64381533719031
16,86.7101190770195,13.730639756512787,16.97134624770818,23.800000000000246,-78.762,19.95524382211354,104.0,186.14,51.11849371802734
17,85.97346835746951,12.867401495683056,18.386231285408538,28.600000000000257,-79.61399999999999,21.789690314458362,102.0,206.63,106.24402618500487
18,66.15356122494228,12.851655988684561,16.741057823742846,-20.0,-79.8,18.70721785835617,102.0,239.89,208.08377615758516
19,85.8597425546912,9.174261922773919,15.310777093939274,22.600000000000243,-83.774,18.194079366651135,113.0,201.12,77.4906807300078
20,48.33011907701948,10.903304817049765,12.501610097941088,-40.0,-82.0,13.856406460551018,108.0,211.34,79.04343362987213
21,66.21617481767026,10.662809308665663,13.398554950995647,-20.0,-82.3,14.822617852457777,102.0,207.48,89.16675165104985
22,39.696695091940924,9.93484264023073,14.174778554310723,-50.0,-83.1,15.792086625902227,102.0,219.92,174.95511881622673
23,48.25060701409175,10.163178256192143,12.581156867702965,-40.0,-82.9,14.02105559506844,102.0,199.73,95.18149557555817
24,66.24742736117437,12.162642827626712,14.899465514231736,-20.0,-80.7,16.688618876348038,102.0,198.17,98.61156676577043
25,48.47853908213776,10.355181750226604,13.778831287457752,-40.0,-82.7,15.287576655572328,102.0,193.89,71.48998461323096
26,75.19185751001956,9.998027112878507,14.158228180614735,-10.0,-83.1,15.728636304524304,102.0,194.02,72.3850785728661
27,39.557582289478205,13.165391257499113,12.317503692833418,-50.0,-79.6,13.705473359209451,102.0,191.94,85.44458086970758
28,48.470570912488576,14.811869370456163,12.805264140900391,-40.0,-77.8,14.253420642077465,104.0,192.72,160.9014033500019
29,66.20394224923463,12.16994827789231,13.479234960195475,-20.0,-80.7,14.983657764377831,115.0,194.64,104.91515810406044
30,57.21925648420767,15.347608466720867,14.198920276313181,-30.0,-77.2,15.816447135814037,123.0,181.62,48.694102312292394
31,66.11112204166712,14.560306387826659,15.518405268037537,-20.0,-78.0,17.26267650163207,123.0,194.57,52.587309305572944
32,66.11112204166712,13.697494810087276,14.33007768225427,-20.0,-79.0,15.968719422671311,124.0,188.48,59.577257405825584
33,57.2962175253438,11.487314343701247,13.215344610250465,-30.0,-81.5,14.722431864335457,124.0,179.77,46.13867249932533
34,85.99703951986407,12.929903109076026,15.623656051317655,16.60000000000023,-79.734,18.172639984328104,102.0,183.5,52.373180159314366
35,48.511062273843315,12.954203101155544,14.712006663457055,-40.0,-79.8,16.36948380371232,102.0,194.98,70.80366939643736
36,66.1710543823898,9.552904395057872,13.456965249058083,-20.0,-83.5,14.9248115565993,111.0,221.5,154.42930421393473
37,39.62472159231584,8.106242463319983,12.991128838097012,-50.0,-85.2,14.455448799674123,102.0,197.35,85.39208101457652
38,75.19185751001956,13.241872800238925,15.820314338046089,-10.0,-79.4,17.65332829808589,112.0,214.4,100.40239040979054
39,65.96931473973873,11.585634494214016,14.109498615626517,-20.0,-81.3,15.726092966786121,124.0,198.02,64.99553523127568
40,65.94556065373062,10.352732776322489,17.144039970604002,-20.0,-82.6,19.111253229445737,102.0,223.7,153.45875667422828
41,66.07842158035618,11.140626693547336,15.961128792489161,-20.0,-81.7,17.723148704448654,102.0,230.02,143.75325944130796
42,75.17399989261955,8.484770354507553,16.497830360154104,-10.0,-84.7,18.409508412774088,102.0,212.19,91.1371159297901
43,57.27968822339259,8.941011276848126,14.301045904300233,-30.0,-84.2,15.885842753848472,102.0,207.46,76.33536794959463
