Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,84.90939992297537,3.4044802534987464,12.451358918244441,11.20000000000023,-90.38799999999999,14.705912280440153,102.0,195.28,112.39315637528826
1,48.046756665712216,8.597174196776729,11.993264466612573,-40.0,-84.6,13.521834195108296,102.0,212.84,110.88090187223408
2,65.89520676758501,23.288448900299063,14.311212721217704,-20.0,-68.1,16.105589091989156,101.0,246.9,109.56034866684206
3,57.23167900420623,26.409558868420888,14.405736720813389,-30.0,-64.4,16.206171663906318,112.0,298.11,105.1910542774432
4,84.48307034478388,31.471705260280554,16.661302687796322,8.800000000000232,-58.611999999999995,18.98441086786736,119.0,317.05,96.98869779515549
5,75.22234767677735,32.15432444150714,14.398053229162052,-10.0,-57.9,16.142800252744255,156.0,324.38,102.82614259029654
6,85.28497518017193,35.28566163452694,15.27201764980743,16.60000000000023,-54.233999999999995,17.647346656084032,181.0,334.71,102.4430861503108
7,84.30009554562248,36.35974850857613,15.601464603325452,7.600000000000232,-53.123999999999995,17.675356403761715,149.0,330.37,86.82104065259756
8,83.4216578853457,33.10694996816154,19.372067857915216,1.000000000000234,-56.89,21.691885579635542,163.0,307.41,100.53706729361068
9,87.213724713052,34.68610616291132,20.03095321635043,35.20000000000027,-54.82599999999999,23.548853984854563,119.0,306.1,103.02519109421735
10,85.89995543807338,36.2646906607083,21.328857187703044,23.800000000000246,-53.152,24.46506276305051,146.0,313.03,100.06222613953778
11,84.49195862382048,38.263434544327296,21.55296768710186,11.20000000000023,-51.087999999999994,24.316057575190932,155.0,300.7,88.55546284673802
12,75.21003982910274,48.27086342361159,20.038306355509473,-10.0,-40.1,22.471982556063008,114.0,289.39,69.50437324370316
13,75.22234767677735,50.074307836493446,17.50090007104579,-10.0,-38.1,19.63135247505887,99.0,285.7,52.28202367927239
14,75.22544845445559,54.80565563775278,18.75014321582962,-10.0,-32.8,20.97999046710937,124.0,296.63,54.502230229597025
15,75.22855887686998,52.921856796445496,17.16983665529045,-10.0,-34.9,19.2091124209319,177.0,294.03,51.091771353124955
16,75.23480889721516,54.97255996500696,15.876584396219997,-10.0,-32.6,17.75499929597295,200.0,299.01,48.17208631562474
17,86.02163506406382,51.53058410005753,18.143401911228214,24.400000000000247,-36.174,20.953942922514617,199.0,290.06,58.41537811227452
18,75.23167900420623,50.92201507119938,16.153555368124614,-10.0,-37.1,18.016381434683268,188.0,303.54,79.99542736931906
19,75.25060701409174,54.62961442519586,16.88166131958123,-10.0,-33.0,18.894443627691185,200.0,293.4,42.501764669246384
