Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,24.606249799193236,-2.762097744746673,5.870274394135956,-70.0,-97.4,5.9363288318623315,96.0,231.18,116.8174969771224
0,54.06246192029868,1.1698587072349003,9.29526767528765,-40.0,-93.7,9.555626614722868,96.0,172.11,77.98934478504098
1,54.06246192029868,8.958833560147887,9.073136117238533,-40.0,-85.7,9.192932067626735,102.0,190.36,65.56744924122029
2,54.06246192029868,16.734244395504007,9.720269314635093,-40.0,-77.9,9.92924971989324,113.0,175.53,42.28438364219112
3,73.46990021702644,25.39141791219599,7.703334492942171,-20.0,-69.1,7.88606365685695,147.0,185.57,46.551531661160205
4,73.46990021702644,28.86209333617983,10.216840041740033,-20.0,-65.6,10.518555033843766,147.0,187.44,66.95197084477797
5,83.28288884003679,31.761666323351356,12.491224406310133,-10.0,-62.6,12.854571171377128,147.0,203.8,78.42958625416814
6,83.28288884003679,36.969525441300895,13.61110813705241,-10.0,-57.2,14.005713120009277,147.0,237.56,97.83060052969111
7,83.28288884003679,43.25847009119181,13.136086063595858,-10.0,-50.7,13.43540099885374,147.0,269.0,88.01034030158047
8,93.38026719449064,51.57030522304055,12.763427000667692,27.400000000000254,-41.83199999999999,14.438662541939284,187.0,298.06,94.58211458833007
9,93.38026719449064,56.32118893162192,12.442860094038025,27.400000000000254,-37.032,14.036458812677807,192.0,294.33,75.6663802490908
10,93.47088973525112,63.08411890790771,11.503369057845388,27.400000000000254,-29.953999999999997,13.465418077430822,195.0,313.12,64.9761925631227
11,93.93372932632853,68.64041184463639,11.774931784911015,40.600000000000286,-23.60599999999998,15.45301148643854,196.0,310.06,55.223513108095545
12,93.93372932632853,75.70449098327445,8.403150226253176,40.600000000000286,-16.04399999999998,12.929921268128492,238.0,328.93,40.2584786101015
13,93.93372932632853,79.27339955491738,6.929785662513535,40.600000000000286,-11.951999999999972,12.376659323096913,238.0,328.0,30.5027867579341
14,94.13089246928254,81.08600329745343,7.317713134884307,47.8000000000003,-8.993999999999955,14.6989102997468,210.0,322.22,33.62278394184515
15,94.13089246928254,83.08168978357806,6.712979003845551,47.8000000000003,-6.063999999999948,15.425715672214464,210.0,320.5,36.253413632373984
16,94.13089246928254,86.88437186140165,4.888589208846554,47.8000000000003,1.0260000000000866,16.58769797168986,210.0,318.44,39.29588273598139
17,94.13089246928254,88.22631299986644,5.115293133917356,47.8000000000003,5.090000000000118,17.53705505494021,210.0,309.94,39.455498983031504
18,94.13089246928254,89.77023101818011,4.945663819006148,47.8000000000003,9.836000000000155,17.575969503842565,210.0,302.02,40.45886305866738
19,94.13089246928254,91.72590028704307,3.9384755201647637,47.8000000000003,16.0540000000002,16.00597026112452,210.0,293.06,42.76466298242043
20,94.13089246928254,93.59579271538776,0.18907654301437413,47.8000000000003,22.276000000000245,10.227992178331014,210.0,279.25,27.90963095420647
21,94.13689246928254,93.65779579863558,0.17670130746032284,48.400000000000304,24.796000000000255,9.821037827032356,210.0,268.89,23.84151631083896
22,94.13689246928254,93.69973711961995,0.18179566909197672,48.400000000000304,26.542000000000257,10.370546562259893,210.0,262.41,23.531721144021745
23,94.13689246928254,93.7349725797071,0.1755072590302611,48.400000000000304,28.456000000000255,10.173183572510647,210.0,258.12,22.120705232880802
24,94.13689246928254,93.77420805396568,0.1732372587357458,48.400000000000304,30.71800000000026,9.743473507943687,210.0,253.86,21.778438878854473
25,94.13689246928254,93.81994946573622,0.17034913527951076,49.000000000000306,33.29800000000027,9.465199205510702,210.0,248.89,21.962647836724972
26,94.13689246928254,93.84743005671338,0.17203892465515966,49.000000000000306,34.672000000000274,9.14927406956423,210.0,245.58,22.691046692473222
27,94.13689246928254,93.8636396109459,0.1665331863003741,49.000000000000306,35.632000000000275,8.41459303828773,210.0,243.95,22.434070072102383
28,94.13689246928254,93.88978542878749,0.15702812813032874,49.000000000000306,36.916000000000274,7.714618849949768,210.0,240.67,21.622236239575223
29,94.13689246928254,93.9151087633853,0.14544304678200193,49.000000000000306,38.05600000000029,6.862657211314014,210.0,237.21,19.703956455493906
